//资源出处，网络收集，所有内容仅自己供学习使用，请勿商业用途!
//

📡永久免费👉公告,#genre#
福建旅游,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227190/index.m3u8
福建教育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227202/index.m3u8
福建卫视,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000519

福建经济,http://php.jdshipin.com:8880/fujian.php?id=6

福建旅游,http://php.jdshipin.com:8880/fujian.php?id=5

福建新闻,http://php.jdshipin.com:8880/fujian.php?id=3

宁德新闻综,rtsp://183.252.176.54/PLTV/88888888/224/3221226768/46971866.smil
莆田新闻综合,rtsp://183.252.176.54/PLTV/88888888/224/3221226724/45553236.smil
泉州综合,rtsp://183.252.176.54/PLTV/88888888/224/3221226810/46680493.smil
龙岩新闻综合,rtsp://183.252.176.54/PLTV/88888888/224/3221226782/45553545.smil
三明新闻综合,rtsp://183.252.176.54/PLTV/88888888/224/3221226769/46558552.smil
平潭新闻综合,rtsp://183.252.176.54/PLTV/88888888/224/3221226735/45469664.smil
福建少儿,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227194/index.m3u8
厦门1,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226814/index.m3u8
厦门2,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226777/index.m3u8
厦门3,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226760/index.m3u8

CCTV-1综合,http://110.80.17.38:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2财经,http://110.80.17.38:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3综艺,http://110.80.17.38:9901/tsfile/live/0003_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-4国际,http://110.80.17.38:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5体育,http://110.80.17.38:9901/tsfile/live/0005_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-6电影,http://110.80.17.38:9901/tsfile/live/0006_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-7军事,http://110.80.17.38:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-8电视,http://110.80.17.38:9901/tsfile/live/0008_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-9纪录,http://110.80.17.38:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-10科教,http://110.80.17.38:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-12社法,http://110.80.17.38:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-13新闻,http://110.80.17.38:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
厦门卫视,http://110.80.17.38:9901/tsfile/live/0128_1.m3u8?key=tvbox6_com&playlive=1&authid=0
福建乡村,http://110.80.17.38:9901/tsfile/live/0130_1.m3u8?key=tvbox6_com&playlive=1&authid=0
福建新闻,http://110.80.17.38:9901/tsfile/live/0122_1.m3u8?key=tvbox6_com&playlive=1&authid=0
福建旅游,http://110.80.17.38:9901/tsfile/live/0138_1.m3u8?key=tvbox6_com&playlive=1&authid=0
上海卫视,http://110.80.17.38:9901/tsfile/live/0107_2.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://110.80.17.38:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://110.80.17.38:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://110.80.17.38:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
金鹰卡通,http://110.80.17.38:9901/tsfile/live/0016_2.m3u8?key=tvbox6_com&playlive=1&authid=0
江西卫视,http://110.80.17.38:9901/tsfile/live/0138_2.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://110.80.17.38:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://110.80.17.38:9901/tsfile/live/0130_2.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://110.80.17.38:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://110.80.17.38:9901/tsfile/live/0122_2.m3u8?key=txiptv&playlive=0&authid=0
广西卫视,http://110.80.17.38:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://110.80.17.38:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0
山西卫视,http://110.80.17.38:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://110.80.17.38:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
云南卫视,http://110.80.17.38:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://110.80.17.38:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0
陕西卫视,http://110.80.17.38:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0
甘肃卫视,http://110.80.17.38:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://110.80.17.38:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://110.80.17.38:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
兵团卫视,http://110.80.17.38:9901/tsfile/live/0015_1.m3u8?key=tvbox6_com&playlive=1&authid=0
宁夏卫视,http://110.80.17.38:9901/tsfile/live/0016_1.m3u8?key=tvbox6_com&playlive=1&authid=0
新疆卫视,http://110.80.17.38:9901/tsfile/live/0018_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-1综合,http://yd.pull.xzbjhuz.cn/histar/hw-cctv1.m3u8
CCTV-2财经,http://yd.pull.xzbjhuz.cn/histar/hw-cctv2.m3u8
CCTV-3综艺,http://yd.pull.xzbjhuz.cn/histar/hw-cctv3.m3u8
CCTV-4国际,http://yd.pull.xzbjhuz.cn/histar/hw-cctv4.m3u8
CCTV-5体育,http://yd.pull.xzbjhuz.cn/histar/hw-cctv5.m3u8
CCTV-6电影,http://yd.pull.xzbjhuz.cn/histar/hw-cctv6.m3u8
CCTV-7军事,http://yd.pull.xzbjhuz.cn/histar/hw-cctv7.m3u8
CCTV-8电视,http://yd.pull.xzbjhuz.cn/histar/hw-cctv8.m3u8
CCTV-9纪录,http://yd.pull.xzbjhuz.cn/histar/hw-cctv9.m3u8
CCTV-10科教,http://yd.pull.xzbjhuz.cn/histar/hw-cctv10.m3u8
CCTV-11戏曲,http://yd.pull.xzbjhuz.cn/histar/hw-cctv11.m3u8
CCTV-12社法,http://yd.pull.xzbjhuz.cn/histar/hw-cctv12.m3u8
CCTV-13新闻,http://yd.pull.xzbjhuz.cn/histar/hw-cctv13.m3u8
CCTV-14少儿,http://yd.pull.xzbjhuz.cn/histar/hw-cctv14.m3u8
CCTV-15音乐,http://yd.pull.xzbjhuz.cn/histar/hw-cctv15.m3u8
CCTV-16奥匹,http://yd.pull.xzbjhuz.cn/histar/hw-cctv16.m3u8
CCTV-17农村,http://yd.pull.xzbjhuz.cn/histar/hw-cctv17.m3u8
CHC影迷电影,http://yd.pull.xzbjhuz.cn/histar/hw-chcgq.m3u8
CHC动作电影,http://yd.pull.xzbjhuz.cn/histar/hw-chcdz.m3u8
CHC家庭影院,http://yd.pull.xzbjhuz.cn/histar/hw-chcjt.m3u8
CCTV-1综合,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://60.10.139.10:8801/hls/1/index.m3u8
CCTV-1综合,http://123.113.237.36:8012/rtp/239.3.1.129:8008
CCTV-1综合,http://218.3.138.25:1111/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://61.136.67.238:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://61.138.128.226:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://124.165.251.82:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://117.27.190.42:9998/tsfile/live/23232_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://123.138.216.44:9902/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://119.98.95.1:4022/udp/239.254.96.96:8550
CCTV-1综合,http://www.91dos.cn:4022/rtp/239.61.5.180:1025?Cf=cfss.cc
CCTV-1综合,http://www.91dos.cn:4022/rtp/239.61.4.15:1025?Cf=cfss.cc
CCTV-1综合,http://www.91dos.cn:4022/rtp/239.61.5.214:1025?Cf=cfss.cc
CCTV-1综合,http://171.217.34.160:8888/udp/239.93.0.184:5140
CCTV-1综合,http://115.222.143.106:8808/udp/233.50.200.99:5140
CCTV-1综合,http://115.222.143.106:8808/udp/233.50.200.130:5140
CCTV-1综合,http://115.222.143.106:8808/udp/233.50.200.143:5140
CCTV-1综合,http://115.222.143.106:8808/udp/233.50.201.118:5140
CCTV-1综合,http://115.222.143.106:8808/udp/233.50.201.222:5140
CCTV-1综合,http://115.222.143.106:8808/udp/233.50.200.247:5140
CCTV-1综合,http://115.222.143.106:8808/udp/233.50.201.226:5140
CCTV-1综合,http://guany.myds.me:25852/udp/233.50.200.99:5140
CCTV-1综合,http://guany.myds.me:25852/udp/233.50.200.143:5140
CCTV-1综合,http://60.184.42.81:8888/udp/233.50.200.99:5140
CCTV-1综合,http://110.90.200.203:4022/rtp/239.61.3.61:9884
CCTV-1综合,http://171.107.72.19:4000/udp/239.81.0.102:4056
CCTV-1综合,http://121.18.43.254:10000/hls/1/index.m3u8
CCTV-1综合,http://61.138.54.155:2233/hls/8/index.m3u8
CCTV-1综合,http://home.oxtv.top:5066/udp/239.21.1.120:5002
CCTV-1综合,http://218.80.79.205:4022/udp/239.45.3.145:5140
CCTV-1综合,http://123.114.19.80:4000/rtp/239.3.1.129:8008
CCTV-1综合,http://221.0.78.198:1681/hls/10201/index.m3u8
CCTV-1综合,http://120.192.226.35:8009/hls/501/index.m3u8
CCTV-1综合,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv1hd265/57/20191230/index.m3u8?
msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-1综合,http://125.47.75.16:8888/udp/225.1.4.73:1102
CCTV-1综合,http://114.254.189.28:9999/udp/239.3.1.129:8008
CCTV-1综合,http://111.196.133.132:8012/udp/239.3.1.129:8008
CCTV-1综合,http://113.138.134.25:8001/rtp/239.112.205.59:5140
CCTV-1综合,http://112.46.85.60:8009/hls/501/index.m3u8
CCTV-1综合,http://123.113.111.37:4022/rtp/239.3.1.129:8008
CCTV-1综合,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226559/index.m3u8
CCTV-1综合,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226016/index.m3u8
CCTV-1综合,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226514/index.m3u8
CCTV-1综合,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226908/1.m3u8
CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-1综合,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2财经,http://60.10.139.10:8801/hls/2/index.m3u8
CCTV-2财经,http://123.113.111.37:4022/rtp/239.3.1.60:8084
CCTV-2财经,http://112.46.85.60:8009/hls/502/index.m3u8
CCTV-2财经,http://218.3.138.25:1111/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://124.165.251.82:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://61.138.128.226:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://117.27.190.42:9998/tsfile/live/23233_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://123.138.216.44:9902/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://119.98.95.1:4022/udp/239.69.1.102:10250
CCTV-2财经,http://www.91dos.cn:4022/rtp/239.61.5.61:1025?Cf=cfss.cc
CCTV-2财经,http://171.217.34.160:8888/udp/239.93.1.23:6000
CCTV-2财经,http://115.222.143.106:8808/udp/233.50.200.25:5140
CCTV-2财经,http://115.222.143.106:8808/udp/233.50.200.100:5140
CCTV-2财经,http://115.222.143.106:8808/udp/233.50.201.119:5140
CCTV-2财经,http://guany.myds.me:25852/udp/233.50.200.100:5140
CCTV-2财经,http://60.184.42.81:8888/udp/233.50.200.100:5140
CCTV-2财经,http://110.90.200.203:4022/rtp/239.61.2.174:9032
CCTV-2财经,http://101.27.34.77:2888/hls/2/index.m3u8
CCTV-2财经,https://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-2财经,http://home.oxtv.top:5066/udp/239.21.1.151:5002
CCTV-2财经,http://123.114.19.80:4000/rtp/239.3.1.60:8084
CCTV-2财经,http://221.0.78.198:1681/hls/10202/index.m3u8
CCTV-2财经,http://120.192.226.35:8009/hls/502/index.m3u8
CCTV-2财经,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv2hd265/55/20200407/index.m3u8?
msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-2财经,http://125.47.75.16:8888/udp/225.1.4.74:1103
CCTV-2财经,http://111.196.133.132:8012/udp/239.3.1.60:8084
CCTV-2财经,http://114.254.189.28:9999/udp/239.3.1.60:8084
CCTV-2财经,http://113.138.134.25:8001/rtp/239.112.205.78:5140
CCTV-2财经,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226540/index.m3u8
CCTV-2财经,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225588/index.m3u8
CCTV-2财经,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225923/1.m3u8
CCTV-2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-2财经,http://39.135.133.177/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3综艺,http://60.10.139.10:8801/hls/3/index.m3u8
CCTV-3综艺,http://123.113.111.37:4022/rtp/239.3.1.172:8001
CCTV-3综艺,http://218.3.138.25:1111/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://124.165.251.82:9999/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://61.136.67.238:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://61.138.128.226:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://117.27.190.42:9998/tsfile/live/23234_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://123.138.216.44:9902/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://61.163.181.78:9901/tsfile/live/0003_1.m3u8
CCTV-3综艺,http://www.91dos.cn:4022/rtp/239.61.4.120:1025?Cf=cfss.cc
CCTV-3综艺,http://171.217.34.160:8888/udp/239.93.1.11:2223
CCTV-3综艺,http://115.222.143.106:8808/udp/233.50.200.107:5140
CCTV-3综艺,http://115.222.143.106:8808/udp/233.50.201.196:5140
CCTV-3综艺,http://101.27.34.77:2888/hls/3/index.m3u8
CCTV-3综艺,http://home.oxtv.top:5066/udp/239.21.2.45:5002
CCTV-3综艺,http://218.80.79.205:4022/udp/239.45.1.68:5140
CCTV-3综艺,http://123.114.19.80:4000/rtp/239.3.1.172:8001
CCTV-3综艺,http://120.192.226.35:8009/hls/3/index.m3u8
CCTV-3综艺,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?
msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-3综艺,http://125.47.75.16:8888/udp/225.1.4.158:1194
CCTV-3综艺,http://111.196.133.132:8012/udp/239.3.1.172:8001
CCTV-3综艺,http://114.254.189.28:9999/udp/239.3.1.172:8001
CCTV-3综艺,http://113.138.134.25:8001/rtp/239.112.205.221:5140
CCTV-3综艺,http://112.46.85.60:8009/hls/3/index.m3u8
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226021/index.m3u8
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-3综艺,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4国际,http://22725y284r.yicp.fun:9902/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4国际,http://58.57.21.166:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4国际,http://116.128.242.83:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4国际,http://60.10.139.10:8801/hls/4/index.m3u8
CCTV-4国际,http://123.113.111.37:4022/rtp/239.3.1.213:4220
CCTV-4国际,http://124.165.251.82:9999/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4国际,http://61.136.67.238:50085/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4国际,http://117.27.190.42:9998/tsfile/live/23235_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4国际,http://123.138.216.44:9902/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4国际,http://119.98.95.1:4022/udp/239.69.1.231:11028
CCTV-4国际,http://www.91dos.cn:4022/rtp/239.61.5.56:1025?Cf=cfss.cc
CCTV-4国际,http://171.217.34.160:8888/udp/239.93.1.105:5140
CCTV-4国际,http://115.222.143.106:8808/udp/233.50.200.101:5140
CCTV-4国际,http://guany.myds.me:25852/udp/233.50.200.101:5140
CCTV-4国际,http://60.184.42.81:8888/udp/233.50.200.101:5140
CCTV-4国际,http://59.44.102.18:8888/newlive/live/hls/5/live.m3u8
CCTV-4国际,http://101.27.34.77:2888/hls/4/index.m3u8
CCTV-4国际,http://home.oxtv.top:5066/udp/239.21.1.154:5002
CCTV-4国际,http://home.oxtv.top:5066/udp/239.21.2.29:5002
CCTV-4国际,http://home.oxtv.top:5066/udp/239.21.2.28:5002
CCTV-4国际,http://218.80.79.205:4022/udp/239.45.0.2:5140
CCTV-4国际,http://123.114.19.80:4000/rtp/239.3.1.213:4220
CCTV-4国际,http://123.114.19.80:4000/rtp/239.3.1.214:4220
CCTV-4国际,http://123.114.19.80:4000/rtp/239.3.1.105:8092
CCTV-4国际,http://221.0.78.198:1681/hls/10204/index.m3u8
CCTV-4国际,http://120.192.226.35:8009/hls/4/index.m3u8
CCTV-4国际,http://125.47.75.16:8888/udp/225.1.5.30:1333
CCTV-4国际,http://111.196.133.132:8012/udp/239.3.1.213:4220
CCTV-4国际,http://111.196.133.132:8012/udp/239.3.1.214:4220
CCTV-4国际,http://114.254.189.28:9999/udp/239.3.1.105:8092
CCTV-4国际,http://114.254.189.28:9999/udp/239.3.1.213:4220
CCTV-4国际,http://114.254.189.28:9999/udp/239.3.1.214:4220
CCTV-4国际,http://113.138.134.25:8001/rtp/239.112.205.202:5140
CCTV-4国际,http://112.46.85.60:8009/hls/4/index.m3u8
CCTV-4国际,https://turkmedya-live.ercdn.net/tv4/tv4_720p.m3u8
CCTV-4国际,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226428/index.m3u8
CCTV-4国际,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226007/index.m3u8
CCTV-4国际,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225802/1.m3u8
CCTV-4国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-4国际,http://39.135.135.50/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV-5体育,http://116.128.242.83:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://60.10.139.10:8801/hls/5/index.m3u8
CCTV-5体育,http://123.113.111.37:4022/rtp/239.3.1.173:8001
CCTV-5体育,http://218.3.138.25:1111/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://124.165.251.82:9999/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://61.136.67.238:50085/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://117.27.190.42:9998/tsfile/live/23236_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://123.138.216.44:9902/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://119.98.95.1:4022/udp/239.69.1.123:10376
CCTV-5体育,http://www.91dos.cn:4022/rtp/239.61.4.121:1025?Cf=cfss.cc
CCTV-5体育,http://171.217.34.160:8888/udp/239.93.1.36:8004
CCTV-5体育,http://171.217.34.160:8888/udp/239.93.42.37:5140
CCTV-5体育,http://115.222.143.106:8808/udp/233.50.200.108:5140
CCTV-5体育,http://115.222.143.106:8808/udp/233.50.201.197:5140
CCTV-5体育,http://115.222.143.106:8808/udp/233.50.201.220:5140
CCTV-5体育,http://60.184.42.81:8888/udp/233.50.201.197:5140
CCTV-5体育,http://14.29.76.30:9901/tsfile/live/1011_1.m3u8
CCTV-5体育,http://101.27.34.77:2888/hls/5/index.m3u8
CCTV-5体育,http://home.oxtv.top:5066/udp/239.21.2.46:5002
CCTV-5体育,http://218.80.79.205:4022/udp/239.45.1.69:5140
CCTV-5体育,http://123.114.19.80:4000/rtp/239.3.1.173:8001
CCTV-5体育,http://120.192.226.35:8009/hls/503/index.m3u8
CCTV-5+赛事,http://116.128.242.83:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+赛事,http://36.35.16.98:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5+赛事,http://124.165.251.82:9999/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+赛事,http://117.27.190.42:9998/tsfile/live/23248_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+赛事,http://123.138.216.44:9902/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+赛事,http://58.48.37.158:1111/tsfile/live/0016_1.m3u8
CCTV-5+赛事,http://124.165.251.82:9999/tsfile/live/0019_1.m3u8
CCTV-5+赛事,http://101.27.34.77:2888/hls/17/index.m3u8
CCTV-5+赛事,http://home.oxtv.top:5066/udp/239.21.1.142:5002
CCTV-5+赛事,http://123.114.19.80:4000/rtp/239.3.1.130:8004
CCTV-5+赛事,http://221.0.78.198:1681/hls/10217/index.m3u8
CCTV-5体育,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv5hd265/57/20191230/index.m3u8?
msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-5体育,http://125.47.75.16:8888/udp/225.1.4.75:1104
CCTV-5体育,http://111.196.133.132:8012/udp/239.3.1.173:8001
CCTV-5体育,http://114.254.189.28:9999/udp/239.3.1.173:8001
CCTV-5+赛事,http://114.254.189.28:9999/udp/239.3.1.130:8004
CCTV-5+赛事,http://111.196.133.132:8012/udp/239.3.1.130:8004
CCTV-5+赛事,http://113.138.134.25:8001/rtp/239.111.205.13:5140
CCTV-5体育,http://113.138.134.25:8001/rtp/239.112.205.222:5140
CCTV-5体育,http://112.46.85.60:8009/hls/503/index.m3u8
CCTV-5体育,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226019/index.m3u8
CCTV-5体育,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226469/index.m3u8
CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5体育,http://39.135.135.77/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+赛事,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225603/index.m3u8
CCTV-5+赛事,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225939/1.m3u8
CCTV-5+赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-5+赛事,http://39.134.65.71/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-5+赛事,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv5plusnew/2500/index.m3u8?
